Flight No.,Launch site,Payload mass,Orbit,Customer,Date,Time,Version Booster,Payload,Launch outcome,Booster landing
1,CCAFS,0,LEO,SpaceX,4 June 2010,18:45,F9 v1.0B0003.1,Dragon Spacecraft Qualification Unit,"Success
",Failure
2,CCAFS,0,LEO,NASA,8 December 2010,15:43,F9 v1.0B0004.1,Dragon,Success,Failure
3,CCAFS,525 kg,LEO,NASA,22 May 2012,07:44,F9 v1.0B0005.1,Dragon,Success,"No attempt
"
4,CCAFS,"4,700 kg",LEO,NASA,8 October 2012,00:35,F9 v1.0B0006.1,SpaceX CRS-1,"Success
",No attempt
5,CCAFS,"4,877 kg",LEO,NASA,1 March 2013,15:10,F9 v1.0B0007.1,SpaceX CRS-2,"Success
","No attempt
"
6,VAFB,500 kg,Polar orbit,MDA,29 September 2013,16:00,F9 v1.1B1003,CASSIOPE,Success,Uncontrolled
7,CCAFS,"3,170 kg",GTO,SES,3 December 2013,22:41,F9 v1.1,SES-8,Success,No attempt
8,CCAFS,"3,325 kg",GTO,Thaicom,6 January 2014,22:06,F9 v1.1,Thaicom 6,Success,No attempt
9,Cape Canaveral,"2,296 kg",LEO,NASA,18 April 2014,19:25,F9 v1.1,SpaceX CRS-3,"Success
",Controlled
10,Cape Canaveral,"1,316 kg",LEO,Orbcomm,14 July 2014,15:15,F9 v1.1,Orbcomm-OG2,Success,Controlled
11,Cape Canaveral,"4,535 kg",GTO,AsiaSat,5 August 2014,08:00,F9 v1.1,AsiaSat 8,Success,No attempt
12,Cape Canaveral,"4,428 kg",GTO,AsiaSat,7 September 2014,05:00,F9 v1.1,AsiaSat 6,Success,"No attempt
"
13,Cape Canaveral,"2,216 kg",LEO,NASA,21 September 2014,05:52,F9 v1.1,SpaceX CRS-4,Success,Uncontrolled
14,Cape Canaveral,"2,395 kg",LEO,NASA,10 January 2015,09:47,F9 v1.1,SpaceX CRS-5,Success,Failure 
15,Cape Canaveral,570 kg,HEO,USAF,11 February 2015,23:03,F9 v1.1,DSCOVR,"Success
",Controlled
16,Cape Canaveral,"4,159 kg",GTO,ABS,2 March 2015,03:50,F9 v1.1,ABS-3A,"Success
",No attempt
17,Cape Canaveral,"1,898 kg",LEO,NASA,14 April 2015,20:10,F9 v1.1,SpaceX CRS-6,"Success
",Failure
18,Cape Canaveral,"4,707 kg",GTO,,27 April 2015,23:03,F9 v1.1,TürkmenÄlem 52°E / MonacoSAT,"Success
",No attempt
19,Cape Canaveral,"1,952 kg",LEO,NASA,28 June 2015,14:21,F9 v1.1,SpaceX CRS-7,Failure,Precluded
20,Cape Canaveral,"2,034 kg",LEO,Orbcomm,22 December 2015,01:29,F9 FT,Orbcomm-OG2,"Success
",Success
21,VAFB,553 kg,LEO,NASA,17 January 2016,18:42,F9 v1.1,Jason-3,"Success
",Failure
22,Cape Canaveral,"5,271 kg",GTO,SES,4 March 2016,23:35,F9 FT,SES-9,"Success
",Failure
23,Cape Canaveral,"3,136 kg",LEO,NASA,8 April 2016,20:43,F9 FT,SpaceX CRS-8,Success,Success
24,Cape Canaveral,"4,696 kg",GTO,SKY Perfect JSAT Group,6 May 2016,05:21,F9 FT,JCSAT-14,"Success
",Success
25,Cape Canaveral,"3,100 kg",GTO,Thaicom,27 May 2016,21:39,F9 FT,Thaicom 8,"Success
",Success
26,Cape Canaveral,"3,600 kg",GTO,ABS,15 June 2016,14:29,F9 FT,ABS-2A,"Success
",Failure
27,Cape Canaveral,"2,257 kg",LEO,NASA,18 July 2016,04:45,F9 FT,SpaceX CRS-9,"Success
",Success
28,Cape Canaveral,"4,600 kg",GTO,SKY Perfect JSAT Group,14 August 2016,05:26,F9 FT,JCSAT-16,"Success
",Success
29,VAFB,"9,600 kg",Polar,Iridium Communications,14 January 2017,17:54,F9 FT,Iridium NEXT,"Success
",Success
30,KSC,"2,490 kg",LEO,NASA,19 February 2017,14:39,F9 FT,SpaceX CRS-10,"Success
",Success
31,KSC,"5,600 kg",GTO,EchoStar,16 March 2017,06:00,F9 FT,EchoStar 23,"Success
",No attempt
32,KSC,"5,300 kg",GTO,SES,30 March 2017,22:27,F9 FT♺,SES-10,Success,Success
33,KSC,C,LEO,NRO,1 May 2017,11:15,F9 FT,NROL-76,"Success
",Success
34,KSC,"6,070 kg",GTO,Inmarsat,15 May 2017,23:21,F9 FT,Inmarsat-5 F4,"Success
",No attempt
35,KSC,"2,708 kg",LEO,NASA,3 June 2017,21:07,F9 FT,SpaceX CRS-11,"Success
",Success
36,KSC,"3,669 kg",GTO,Bulsatcom,23 June 2017,19:10,F9 FTB1029.2,BulgariaSat-1,"Success
",Success
37,VAFB,"9,600 kg",LEO,Iridium Communications,25 June 2017,20:25,F9 FT,Iridium NEXT,"Success
",Success
38,KSC,"6,761 kg",GTO,Intelsat,5 July 2017,23:38,F9 FT,Intelsat 35e,"Success
",No attempt
39,KSC,"3,310 kg",LEO,NASA,14 August 2017,16:31,F9 B4,SpaceX CRS-12,"Success
",Success
40,VAFB,475 kg,SSO,NSPO,24 August 2017,18:51,F9 FT,Formosat-5,"Success
",Success
41,KSC,"4,990 kg",LEO,USAF,7 September 2017,14:00,F9 B4,Boeing X-37B,"Success
",Success
42,VAFB,"9,600 kg",Polar,Iridium Communications,9 October 2017,12:37,F9 B4,Iridium NEXT,"Success
",Success
43,KSC,"5,200 kg",GTO,SES S.A.,11 October 2017,22:53:00,F9 FTB1031.2,SES-11,"Success
",Success
44,KSC,"3,500 kg",GTO,KT Corporation,30 October 2017,19:34,F9 B4,Koreasat 5A,"Success
",Success
45,Cape Canaveral,"2,205 kg",LEO,NASA,15 December 2017,15:36,F9 FTB1035.2,SpaceX CRS-13,"Success
",Success
46,VAFB,"9,600 kg",Polar,Iridium Communications,23 December 2017,01:27,F9 FTB1036.2,Iridium NEXT,Success,Controlled
47,CCAFS,C,LEO,Northrop Grumman,8 January 2018,01:00,F9 B4,Zuma,Success,Success
48,CCAFS,"4,230 kg",GTO,SES,31 January 2018,21:25,F9 FTB1032.2,GovSat-1,Success,Controlled
49,VAFB,"2,150 kg",SSO,Hisdesat,22 February 2018,14:17,F9 FTB1038.2,Paz,Success,No attempt
50,CCAFS,"6,092 kg",GTO,Hispasat,6 March 2018,05:33,F9 B4,Hispasat 30W-6,Success,No attempt
51,VAFB,"9,600 kg",Polar,Iridium Communications,30 March 2018,14:14,F9 B4B1041.2,Iridium NEXT,Success,No attempt
52,CCAFS,"2,647 kg",LEO,NASA,2 April 2018,20:30,F9 B4B1039.2,SpaceX CRS-14,Success,No attempt
